codigo,pase14,pac14,pan14,pt14,fa14,pin14,pln14,pml14,png14,ppn14,prc14,prn14,pusc14,votos_validos
102,150,10490,53,69,3314,27,9661,5069,123,460,145,219,1505,31285
104,77,5445,35,42,2880,24,7255,1247,37,179,66,128,1129,18544
105,43,1976,24,16,1594,10,2365,488,15,68,30,45,662,7336
106,201,8409,81,56,4841,41,8889,2455,74,362,139,228,1502,27278
107,68,4569,40,31,1957,13,4041,1382,69,155,86,147,912,13470
109,55,8030,23,30,2328,23,6697,3410,43,251,71,213,1179,22353
110,234,9085,138,85,5225,80,7946,4107,99,480,314,669,1797,30259
111,168,15994,94,89,5333,78,8559,3154,110,517,131,450,1519,36196
112,43,2665,35,26,2279,5,3998,684,20,85,58,62,643,10603
113,145,15913,95,61,5236,46,10188,3826,125,829,191,694,1878,39227
114,95,14187,54,50,4155,47,7461,2916,98,411,91,410,1291,31266
115,47,14417,85,44,4766,86,7007,2557,109,406,65,199,1099,30887
116,8,572,9,3,375,4,1503,278,5,33,14,4,149,2957
117,14,1391,4,9,585,7,1156,151,4,35,9,14,144,3523
118,159,14052,59,44,3830,57,8431,4360,92,380,172,316,1543,33495
119,387,20634,121,143,11634,62,21657,5250,186,911,439,1663,4667,67754
120,46,1178,9,25,1199,8,2289,440,15,40,26,36,451,5762
202,144,14112,62,130,11614,48,9903,2303,84,1284,200,345,1460,41689
203,161,15089,69,82,6518,40,10781,3982,73,606,170,551,1801,39923
204,8,458,5,2,575,4,1240,251,12,28,10,9,160,2762
205,43,5688,15,24,2573,33,3864,730,24,131,103,75,742,14045
206,85,6593,21,64,4479,38,6354,1894,40,182,88,303,1292,21433
207,34,5203,30,35,4642,9,8785,581,43,241,49,238,655,20545
208,68,4686,20,33,2312,24,4491,1954,29,267,64,209,557,14714
209,37,1522,12,12,1601,4,3823,710,22,62,30,90,903,8828
210,281,19998,112,187,10035,59,19664,8071,125,3787,642,526,3893,67380
211,14,2126,11,8,1034,6,2734,304,19,127,18,35,471,6907
212,27,2640,18,11,1864,5,2461,1454,28,89,39,260,585,9481
213,86,1581,23,38,2821,17,5192,2576,21,69,175,181,1160,13940
214,25,806,13,114,1787,13,1712,891,11,123,96,114,389,6094
215,31,809,12,11,1075,9,2536,1020,10,39,118,145,369,6184
302,170,9947,36,75,5359,40,7708,3790,87,1346,80,303,2300,31241
303,267,18051,92,124,6042,124,11194,5446,158,705,225,482,2505,45415
304,85,1791,13,28,1581,21,2718,832,42,85,46,60,550,7852
305,214,9931,86,114,6833,55,11487,3202,110,316,187,314,2848,35697
306,39,2289,12,17,797,14,1808,819,19,179,18,48,493,6552
307,159,8531,54,91,3111,21,6448,3185,85,648,55,189,1466,24043
308,144,7532,37,60,2784,28,6909,2620,85,372,62,219,1651,22503
401,229,26348,92,169,10388,50,16754,6412,230,844,172,680,2983,65351
402,77,9391,49,44,4009,26,5382,1799,60,268,50,233,1017,22405
403,112,10476,39,40,3063,25,6289,2180,73,299,84,293,1313,24286
404,70,6597,37,33,2921,21,4680,1704,44,233,51,253,917,17561
405,126,9127,44,48,4262,21,5325,2031,73,350,57,248,1017,22729
406,45,4312,8,26,1655,11,2861,901,40,127,40,119,526,10671
407,33,4749,12,23,1781,11,3829,1414,32,110,19,45,1072,13130
408,39,5086,9,15,1349,14,3106,1011,43,111,24,91,614,11512
409,52,6208,23,21,2392,12,3473,1125,58,186,57,136,1147,14890
410,143,2799,28,58,4617,19,5201,3122,48,140,293,640,932,18040
501,101,4554,38,57,4356,20,8734,2960,55,203,487,311,2147,24023
502,73,2800,33,52,5186,36,11069,3321,61,192,205,227,2013,25268
503,93,2791,91,54,4629,29,9345,2752,39,206,260,213,2099,22601
504,33,1618,13,22,1377,15,2492,937,12,55,127,110,521,7332
505,44,1336,40,15,1542,7,5827,2216,12,95,241,118,1248,12741
506,33,2025,16,25,2084,13,4516,1148,15,68,58,410,641,11052
507,37,1228,7,10,1896,10,3365,981,11,46,67,102,443,8203
508,32,2382,5,17,1908,7,3287,1000,12,143,110,84,776,9763
509,18,482,8,9,1376,8,2550,486,10,164,77,90,192,5470
510,10,411,16,10,1100,5,2547,1255,5,16,130,41,420,5966
511,21,650,4,13,645,3,1866,357,15,24,92,26,190,3906
601,245,6341,122,109,10535,71,17146,7057,102,383,444,600,5232,48387
602,51,2393,36,18,2890,12,5016,2165,22,134,80,98,1013,13928
603,100,2156,28,35,3877,23,5742,2735,90,102,153,357,1093,16491
604,23,1225,5,11,1492,10,2247,662,12,57,65,182,539,6530
605,98,1435,23,30,2690,22,3308,2038,27,91,135,238,650,10785
606,140,1457,20,35,1640,12,3161,1844,45,55,145,388,784,9726
607,82,1353,29,31,4568,33,4409,1585,52,127,111,490,1188,14058
608,67,2838,25,30,4018,25,5385,1220,44,96,191,304,992,15235
609,55,668,6,7,647,9,2292,1649,10,25,128,135,630,6261
610,87,2204,40,41,4679,23,5303,1801,40,75,328,412,1161,16194
611,15,886,11,10,726,6,1954,979,5,24,17,56,487,5176
701,333,4367,128,148,7713,58,11408,5397,119,413,986,706,3068,34844
702,408,10180,207,197,11995,65,12965,8988,175,381,1712,759,2686,50718
703,173,2529,61,63,4218,27,6748,3896,95,147,723,485,1592,20757
704,36,618,14,33,2198,8,2527,1478,30,47,432,112,1403,8936
705,66,719,22,25,2008,17,3765,2784,27,43,506,132,1059,11173
706,141,2206,74,53,3235,25,3955,3097,58,81,543,472,1121,15061
